x,y,z,rld
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,1,0
22,22,1,0
23,23,1,0
24,24,1,0
25,25,1,0
26,26,1,0
27,27,1,0
28,28,1,0
29,29,1,0
30,30,1,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.95,0
22,22,0.95,0
23,23,0.95,0
24,24,0.95,0
25,25,0.95,0
26,26,0.95,0
27,27,0.95,0
28,28,0.95,0
29,29,0.95,0
30,30,0.95,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
29,29,0.9,0
30,30,0.9,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
29,29,0.9,0
30,30,0.9,0
21,21,0.9,0
22,22,0.9,0
23,23,0.9,0
24,24,0.9,0
25,25,0.9,0
26,26,0.9,0
27,27,0.9,0
28,28,0.9,0
